case,activity,resource,timestamp,Amount
181348,W_Completeren aanvraag-complete,12,2011/11/01 16:07:54.625,6000
181348,W_Nabellen offertes-complete,11,2011/11/08 20:48:35.383,6000
181348,W_Nabellen offertes-complete,39,2011/11/11 12:01:19.143,6000
181348,W_Valideren aanvraag-complete,13,2011/11/15 08:58:01.626,6000
181348,W_Nabellen incomplete dossiers-complete,28,2011/11/15 10:02:30.102,6000
181348,W_Nabellen incomplete dossiers-complete,28,2011/11/16 09:43:36.016,6000
181348,W_Nabellen incomplete dossiers-complete,12,2011/11/17 09:52:25.505,6000
207020,W_Afhandelen leads-complete,10,2012/02/07 09:46:33.236,50000
207020,W_Afhandelen leads-complete,10,2012/02/07 09:53:18.850,50000
207020,W_Afhandelen leads-complete,10,2012/02/07 09:55:28.147,50000
207020,W_Completeren aanvraag-complete,10,2012/02/07 10:35:32.241,50000
207020,W_Nabellen offertes-complete,10,2012/02/07 10:57:15.028,50000
207020,W_Nabellen offertes-complete,10,2012/02/07 14:09:18.286,50000
207020,W_Nabellen offertes-complete,10,2012/02/07 16:28:28.824,50000
207020,W_Nabellen offertes-complete,3,2012/02/13 11:37:38.632,50000
207020,W_Valideren aanvraag-complete,18,2012/02/15 13:50:28.463,50000
207020,W_Valideren aanvraag-complete,18,2012/02/15 13:59:22.111,50000
207020,W_Valideren aanvraag-complete,18,2012/02/15 14:13:29.186,50000
207020,W_Valideren aanvraag-complete,18,2012/02/15 15:05:44.389,50000
207020,W_Valideren aanvraag-complete,5,2012/02/15 16:10:12.074,50000
207020,W_Valideren aanvraag-complete,18,2012/02/15 16:14:26.586,50000
209033,W_Afhandelen leads-complete,43,2012/02/13 19:23:57.028,5000
210707,W_Afhandelen leads-complete,10,2012/02/20 12:37:20.729,25000
210707,W_Completeren aanvraag-complete,57,2012/02/20 15:38:44.818,25000
188696,W_Completeren aanvraag-complete,8,2011/11/24 17:22:58.173,6500
188696,W_Completeren aanvraag-complete,28,2011/11/25 14:49:48.844,6500
188696,W_Completeren aanvraag-complete,1,2011/11/25 15:13:31.213,6500
173694,W_Completeren aanvraag-complete,6,2011/10/01 11:35:59.637,7000
