case,activity,resource,timestamp,Att1,Att2,Att3,Att4,Att5,Att6
1729,Accepted-In Progress,Peter,2011/12/23 10:46:51.000,Low,se,Org line C,E_7,PROD673,Sweden
1729,Completed-Closed,Peter,2012/01/02 09:24:05.000,Low,se,Org line C,E_7,PROD673,Sweden
1599,Accepted-In Progress,Ewa,2012/02/06 21:16:22.000,Medium,us,Org line G3,,PROD98,POLAND
1599,Completed-Closed,Ewa,2012/02/06 21:17:44.000,Medium,us,Org line G3,,PROD98,POLAND
1932,Accepted-In Progress,Vaibhav,2012/05/01 09:34:04.000,Medium,us,Org line C,E_4,PROD793,Sweden
1932,Accepted-In Progress,Vaibhav,2012/05/01 09:34:46.000,Medium,us,Org line C,E_4,PROD793,Sweden
573,Accepted-In Progress,Vikrant,2011/10/14 17:06:14.000,Medium,se,Org line A2,A2_4,PROD337,Sweden
573,Completed-Closed,Vikrant,2012/01/04 12:07:10.000,Medium,se,Org line A2,A2_4,PROD337,Sweden
507,Accepted-In Progress,Wim,2011/09/19 15:44:47.000,High,us,Org line D,D_2,PROD618,Belgium
507,Accepted-In Progress,Wim,2011/09/20 15:06:13.000,High,us,Org line D,D_2,PROD618,Belgium
507,Accepted-In Progress,Wim,2011/09/21 10:44:31.000,High,us,Org line D,D_2,PROD618,Belgium
507,Completed-Closed,Wim,2012/03/23 10:52:42.000,High,us,Org line D,D_2,PROD618,Belgium
1965,Accepted-Wait,Vijayakumar,2012/05/05 16:07:46.000,Medium,in,Org line B,E_10,PROD209,INDIA
564,Accepted-In Progress,Garima,2011/10/12 13:12:10.000,High,us,Org line C,E_4,PROD197,INDIA
564,Accepted-Wait,Garima,2011/10/12 13:13:45.000,High,us,Org line C,E_4,PROD197,INDIA
564,Completed-Closed,Garima,2011/10/24 13:37:06.000,High,us,Org line C,E_4,PROD197,INDIA
564,Accepted-In Progress,Garima,2012/01/18 14:16:17.000,High,us,Org line C,E_4,PROD197,INDIA
564,Queued-Awaiting Assignment,Garima,2012/01/18 14:27:22.000,High,us,Org line C,E_4,PROD197,INDIA
564,Queued-Awaiting Assignment,Robert,2012/01/18 14:27:23.000,High,us,Org line C,E_4,PROD197,USA
564,Accepted-In Progress,Robert,2012/02/28 16:40:30.000,High,us,Org line C,E_4,PROD197,USA
564,Accepted-In Progress,Jay,2012/02/28 16:52:31.000,High,us,Org line C,E_4,PROD197,USA
564,Accepted-Assigned,Bhavesh,2012/02/29 20:32:35.000,High,us,Org line C,E_4,PROD197,Sweden
564,Queued-Awaiting Assignment,Amit,2012/03/07 08:50:15.000,High,us,Org line C,E_5,PROD197,INDIA
564,Queued-Awaiting Assignment,Robert,2012/03/07 13:24:09.000,High,us,Org line C,E_4,PROD197,USA
564,Accepted-In Progress,Bhavesh,2012/03/13 11:28:59.000,High,us,Org line C,E_4,PROD197,Sweden
564,Completed-Closed,Bhavesh,2012/03/13 11:29:05.000,High,us,Org line C,E_4,PROD197,Sweden
913,Accepted-In Progress,K�re,2012/01/18 15:02:14.000,High,be,Org line C,E_1,PROD745,Sweden
913,Accepted-In Progress,K�re,2012/01/18 15:04:14.000,High,be,Org line C,E_1,PROD745,Sweden
913,Accepted-Wait,K�re,2012/01/23 10:21:55.000,High,be,Org line C,E_1,PROD745,Sweden
913,Completed-Closed,K�re,2012/04/20 14:15:47.000,High,be,Org line C,E_1,PROD745,Sweden
1259,Accepted-In Progress,Per-Erik,2012/03/22 04:09:04.000,High,se,Org line C,E_1,PROD790,Sweden
1259,Queued-Awaiting Assignment,Per-Erik,2012/03/22 04:09:52.000,High,se,Org line C,E_1,PROD790,Sweden
1259,Accepted-In Progress,Patrik,2012/03/22 16:16:08.000,High,se,Org line A2,A2_1,PROD790,Sweden
1259,Completed-Closed,Patrik,2012/03/22 16:17:20.000,High,se,Org line A2,A2_1,PROD790,Sweden
1751,Accepted-In Progress,Rickard,2012/01/13 08:04:43.000,Medium,se,Org line G4,,PROD374,Sweden
1751,Completed-Closed,Rickard,2012/01/26 13:51:59.000,Medium,se,Org line G4,,PROD374,Sweden
2201,Accepted-In Progress,Ian,2012/06/01 14:44:41.000,Medium,gb,Org line A2,A2_1,PROD236,United Kingdom
2201,Accepted-Assigned,Ian,2012/06/01 14:47:16.000,Medium,gb,Org line A2,A2_1,PROD236,United Kingdom
1229,Accepted-In Progress,Maria,2012/03/14 16:04:35.000,Medium,se,Org line A2,A2_4,PROD591,Sweden
1229,Completed-Closed,Maria,2012/03/16 10:45:58.000,Medium,se,Org line A2,A2_4,PROD591,Sweden
752,Accepted-In Progress,Torbj�rn,2011/12/09 10:00:42.000,High,se,Org line G4,,PROD397,Sweden
752,Completed-Closed,Torbj�rn,2012/01/03 08:43:57.000,High,se,Org line G4,,PROD397,Sweden
62,Accepted-In Progress,Carolyn,2010/03/29 11:38:31.000,Medium,us,Org line G3,,PROD98,USA
62,Queued-Awaiting Assignment,Carolyn,2010/03/29 11:41:32.000,Medium,us,Org line G3,,PROD98,USA
62,Accepted-In Progress,Kannan,2010/03/29 13:30:54.000,Medium,us,Org line G3,,PROD98,Sweden
62,Accepted-Assigned,Carolyn,2010/03/29 13:30:58.000,Medium,us,Org line G3,,PROD98,USA
62,Accepted-In Progress,Ewa,2012/01/19 10:09:44.000,Medium,us,Org line G3,,PROD98,POLAND
62,Completed-Closed,Ewa,2012/01/19 10:10:41.000,Medium,us,Org line G3,,PROD98,POLAND
2012,Accepted-In Progress,Emil,2012/05/11 10:23:35.000,Medium,se,Org line C,C_6,PROD544,Sweden
2012,Queued-Awaiting Assignment,Emil,2012/05/11 10:23:44.000,Medium,se,Org line C,C_6,PROD544,Sweden
2012,Accepted-In Progress,Emil,2012/05/16 10:25:43.000,Medium,se,Org line C,C_6,PROD544,Sweden
1940,Accepted-In Progress,Peter,2012/05/02 15:09:52.000,Medium,be,Org line C,E_1,PROD745,Belgium
1940,Queued-Awaiting Assignment,Peter,2012/05/02 15:13:41.000,Medium,be,Org line C,E_1,PROD745,Belgium
1940,Accepted-Assigned,Marie,2012/06/05 11:11:15.000,Medium,be,Org line C,E_1,PROD745,Sweden
1831,Accepted-In Progress,Martin,2012/02/27 13:04:10.000,High,se,Org line C,C_6,PROD802,Sweden
1831,Accepted-In Progress,Martin,2012/02/27 13:06:32.000,High,se,Org line C,C_6,PROD802,Sweden
1831,Queued-Awaiting Assignment,Martin,2012/02/28 15:36:18.000,High,se,Org line C,C_6,PROD802,Sweden
1831,Accepted-Assigned,Pascal,2012/02/29 10:24:30.000,High,se,Org line C,C_6,PROD802,Sweden
1831,Accepted-In Progress,Pascal,2012/03/22 15:05:34.000,High,se,Org line C,C_6,PROD802,Sweden
1831,Completed-Closed,Pascal,2012/03/30 14:38:43.000,High,se,Org line C,C_6,PROD802,Sweden
934,Accepted-In Progress,Marcin,2012/01/23 14:39:44.000,Medium,pl,Org line A2,A2_3,PROD791,POLAND
934,Completed-Closed,Marcin,2012/04/13 11:36:39.000,Medium,pl,Org line A2,A2_3,PROD791,POLAND
1171,Accepted-In Progress,Bharani,2012/03/05 23:30:17.000,High,au,Org line C,E_5,PROD790,INDIA
1171,Queued-Awaiting Assignment,Bharani,2012/03/05 23:35:32.000,High,au,Org line C,E_5,PROD790,INDIA
1171,Queued-Awaiting Assignment,Marilyn,2012/04/16 13:33:54.000,High,au,Org line B,A2_1,PROD790,Australia
1171,Accepted-In Progress,Marilyn,2012/05/10 04:11:34.000,High,au,Org line B,A2_1,PROD790,Australia
