case,activity,resource,timestamp,Org,Project,Task,Role
Case 1553,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/01/30 13:38:01.000,organizational unit 65461,project 147556,task 154302,EMPLOYEE
Case 1553,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/01/30 13:38:10.000,organizational unit 65461,project 147556,task 154302,ADMINISTRATION
Case 1553,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/01/31 16:18:03.000,organizational unit 65461,project 147556,task 154302,BUDGET OWNER
Case 1553,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/02/01 10:31:12.000,organizational unit 65461,project 147556,task 154302,SUPERVISOR
Case 1553,Request Payment,SYSTEM,2018/02/01 14:22:58.000,organizational unit 65461,project 147556,task 154302,UNDEFINED
Case 1553,Payment Handled,SYSTEM,2018/02/05 17:31:03.000,organizational unit 65461,project 147556,task 154302,UNDEFINED
Case 2978,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/04/29 19:28:32.000,organizational unit 65468,UNKNOWN,UNKNOWN,EMPLOYEE
Case 2978,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/04/29 19:28:38.000,organizational unit 65468,UNKNOWN,UNKNOWN,ADMINISTRATION
Case 2978,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/04/30 10:55:58.000,organizational unit 65468,UNKNOWN,UNKNOWN,EMPLOYEE
Case 2338,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/03/19 10:24:47.000,organizational unit 65469,project 147556,UNKNOWN,EMPLOYEE
Case 2338,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/03/19 10:28:34.000,organizational unit 65469,project 147556,UNKNOWN,ADMINISTRATION
Case 2338,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/03/20 12:50:51.000,organizational unit 65469,project 147556,UNKNOWN,SUPERVISOR
Case 2338,Request Payment,SYSTEM,2018/03/20 22:11:35.000,organizational unit 65469,project 147556,UNKNOWN,UNDEFINED
Case 2338,Payment Handled,SYSTEM,2018/03/22 17:31:12.000,organizational unit 65469,project 147556,UNKNOWN,UNDEFINED
